"PB-2A","PB-2C","PB-31B","PB-18","PB-23","PB-24","PB-22","PB-10","PB-11","PB-12","Peri","CW1","CW2","CW3","PB-32","PB-33","PB-34","PB-35","PB-36","PB-37","PB-38","PB-39","PB-40","PB-41","PB-44","PB-47","PB-50","PB-51","PB-56","PB-59","NAM_335","NAM_336","NAM_342","NAM_343"
NA,NA,1164,NA,2368,2647,2519,1998,NA,NA,NA,1985,1878,NA,NA,NA,NA,NA,NA,2108,NA,NA,2635,NA,269,2941,2831,NA,NA,NA,818,1799,653,667
NA,NA,1214,NA,2384,2672,2572,2011,NA,NA,NA,1989,1917,NA,NA,NA,NA,NA,NA,2606,NA,NA,2584,NA,NA,3125,155,NA,NA,NA,547,603,291,540
NA,NA,1505,NA,2584,2677,2692,2015,NA,NA,NA,2050,1926,NA,NA,NA,NA,NA,NA,2557,NA,NA,501,NA,NA,3467,158,NA,NA,NA,483,510,574,525
NA,NA,1648,NA,2644,3264,2858,2059,NA,NA,NA,2054,1937,NA,NA,NA,NA,NA,NA,2629,NA,NA,520,NA,NA,3469,NA,NA,NA,NA,2002,690,1687,572
NA,NA,2083,NA,2674,NA,3290,2080,NA,NA,NA,2107,1950,NA,NA,NA,NA,NA,NA,3500,NA,NA,573,NA,NA,607,NA,NA,NA,NA,280,2651,570,1876
NA,NA,NA,NA,NA,NA,NA,2106,NA,NA,NA,2560,1954,NA,NA,NA,NA,NA,NA,635,NA,NA,649,NA,NA,NA,NA,NA,NA,NA,757,490,618,1058
NA,NA,NA,NA,NA,NA,NA,2538,NA,NA,NA,NA,1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,312,1006,269
NA,NA,NA,NA,NA,NA,NA,2657,NA,NA,NA,NA,1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453,282,2137,673
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,1941,1979,1057
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492,543,307,1892
