"","sample","facies","stratigraphy","Lat","Long","region","Continent","phi_0","phi_1","phi_2","phi_3","phi_4","zone","gs_mean_um","gs_sd_um","gs_kur_um","gs_skw_um","gs_mean_phi","gs_sd_phi","gs_kur_phi","gs_skw_phi","paleolong","paleolat","gs_mean_mm","gs_mean_scale","gs_sd_scale","gs_kur_scale","gs_skw_scale","position","reg_2","x","y","w_dir","wind_group","source"
"17","37","Ste","Base",-21.82,-48.08,"Northeast","SA",0,0,34.47193539,48.28327015,17.24479446,"N",169.684,1.728,0.941,-0.006,2.286,0.789,0.941,0.006,-13.71,-19.93,0.169684,-0.51299888060628,0.288210652505986,-0.230462007599386,0.589632577818401,"North","Northeast",-13.71,-19.93,196.524506448566,"North Winds","Bertolini et al. (2021)"
"18","38","Ste","Base",-20.16,-47.42,"Northeast","SA",0,0,44.43496747,48.31600113,7.249031394,"N",238.905,1.621,0.84,-0.025,2.098,0.697,0.84,0.025,-13.22,-18.22,0.238905,-0.238103130183371,-0.385765963988555,-0.746044489214219,0.484596269078283,"North","Northeast",-13.22,-18.22,178.009114305787,"North Winds","Bertolini et al. (2021)"
"19","39","Ste","Top",-20.13,-47.44,"Northeast","SA",0,0,71.66019607,23.68237299,4.657430942,"N",404.827,1.531,0.991,-0.307,1.814,0.615,0.991,0.307,-13.24,-18.19,0.404827,0.42081905674935,-0.952662183469945,0.0247768446851852,-1.07436368169609,"North","Northeast",-13.24,-18.19,178.128690286146,"North Winds","Bertolini et al. (2021)"
"20","40","Ste","Intratrap",-20.11,-47.47,"Northeast","SA",0,0,21.29869161,67.34403404,11.35727435,"N",162.774,1.565,1.28,0.086,2.369,0.646,1.28,-0.086,-13.27,-18.18,0.162774,-0.540440403199457,-0.738501389443642,1.50005741089001,1.0982294411916,"North","Northeast",-13.27,-18.18,178.463386672877,"North Winds","Bertolini et al. (2021)"
"21","44","Ste","Base",-19.54,-54.04,"Northwest","SA",0,0,80.45224119,13.25535777,6.292401039,"N",511.629,1.507,1.412,-0.343,1.696,0.592,1.412,0.343,-19.8,-18.17,0.511629,0.844959360077351,-1.10383450866498,2.17388798092127,-1.27337984562474,"North","Northwest",-19.8,-18.17,167.176717759627,"North Winds","Bertolini et al. (2021)"
"22","46","Ste","Base",-19.48,-54.11,"Northwest","SA",0,0,10.30840097,50.92995465,38.76164438,"N",74.749,1.655,0.916,-0.001,2.824,0.727,0.916,0.001,-19.88,-18.12,0.074749,-0.890012042311527,-0.171605169962252,-0.358081433741671,0.617273711697379,"North","Northwest",-19.88,-18.12,167.165524122264,"North Winds","Bertolini et al. (2021)"
"23","47","Ste","Top",-19.3,-54.38,"Northwest","SA",0,0,48.99891353,44.53416312,6.466923352,"N",262.672,1.609,0.81,-0.089,2.045,0.686,0.81,0.089,-20.16,-17.96,0.262672,-0.143717794803916,-0.461352126586074,-0.899187800584961,0.130789755427361,"North","Northwest",-20.16,-17.96,167.398620764655,"North Winds","Bertolini et al. (2021)"
"24","48","Ste","Base",-19.08,-54.79,"Northwest","SA",0,0,32.10805895,62.96121756,4.930723493,"N",205.061,1.527,0.837,0.205,2.202,0.611,0.837,-0.205,-20.59,-17.78,0.205061,-0.372507021738144,-0.977857571002451,-0.761358820351293,1.75608842751129,"North","Northwest",-20.59,-17.78,167.373397693773,"North Winds","Bertolini et al. (2021)"
"25","49","Ste","Top",-18.15,-53.68,"Northwest","SA",0,0,45.74108518,46.68377798,7.575136836,"N",243.372,1.63,0.845,-0.055,2.087,0.705,0.845,0.055,-19.58,-16.76,0.243372,-0.22036343677907,-0.329076342040417,-0.720520603985762,0.318749465804413,"North","Northwest",-19.58,-16.76,176.496366853824,"North Winds","Bertolini et al. (2021)"
"26","50","Ste","Base",-18.15,-53.68,"Northwest","SA",0,0,50.04374686,45.46349065,4.492762488,"N",274.714,1.562,0.738,-0.048,2.022,0.643,0.738,0.048,-19.58,-16.76,0.274714,-0.0958956797435632,-0.757397930093021,-1.26673174787474,0.357447053234983,"North","Northwest",-19.58,-16.76,176.496366853824,"North Winds","Bertolini et al. (2021)"
"27","51","Ste","Top",-18.13,-53.7,"Northwest","SA",0,0,14.19045186,67.72832356,18.08122457,"N",125.334,1.547,1.312,-0.04,2.556,0.63,1.312,0.04,-19.6,-16.74,0.125334,-0.689125006077684,-0.85188063333992,1.66341027635213,0.401672867441348,"North","Northwest",-19.6,-16.74,176.496366853824,"North Winds","Bertolini et al. (2021)"
"28","52","Ste","Top",-18.39,-53.67,"Northwest","SA",0,0,49.62250289,41.34940794,9.028089174,"N",257.135,1.661,0.864,-0.157,2.054,0.732,0.864,0.157,-19.55,-17,0.257135,-0.165706754369534,-0.133812088663493,-0.623529840117625,-0.245129665326744,"North","Northwest",-19.55,-17,174.516653923211,"North Winds","Bertolini et al. (2021)"
"29","56","Ste","Base",-15.38,-55.84,"Northwest","SA",0,0,55.32657962,34.65436151,10.01905887,"N",279.527,1.681,0.883,-0.262,2.007,0.749,0.883,0.262,-21.98,-14.19,0.279527,-0.07678192457121,-0.0078351510009616,-0.526539076249488,-0.825593476785289,"North","Northwest",-21.98,-14.19,194.506863408042,"North Winds","Bertolini et al. (2021)"
"30","60","Ste","Base",-20.780094,14.075215,"Southeast","AF",0,6.19219768,45.68826474,33.49713968,14.6223979,"S",249.883,1.824,0.911,-0.168,2.044,0.867,0.911,0.168,-12.24,-28.35,0.249883,-0.194506453623618,0.892899953286135,-0.383605318970128,-0.305940159860497,"South","South",-12.24,-28.35,58.1843073010166,"South Winds","This study"
"31","63","Ste","Intratrap",-20.654333,14.145194,"Southeast","AF",0,0.602460176,55.13017861,30.72878562,13.5385756,"S",264.178,1.736,0.88,-0.303,2.032,0.796,0.88,0.303,-12.1,-28.28,0.264178,-0.137737051963782,0.338601427570998,-0.541853407386562,-1.05225077459291,"South","South",-12.1,-28.28,59.9810565670043,"South Winds","This study"
"32","64","Ste","Intratrap",-20.652083,14.143639,"Southeast","AF",0,2.445781497,55.14272032,29.3933883,13.01810988,"S",276.571,1.743,0.887,-0.308,2.002,0.801,0.887,0.308,-12.1,-28.28,0.276571,-0.0885210187514459,0.382693355752885,-0.506119968066722,-1.07989190847189,"South","South",-12.1,-28.28,59.9810565670043,"South Winds","This study"
"33","67","Ste","Intratrap",-20.660333,14.148583,"Southeast","AF",0,9.848338012,54.44117236,27.2633108,8.44717882,"S",351.218,1.792,1.065,-0.187,1.858,0.841,1.065,0.187,-12.1,-28.29,0.351218,0.207922879513804,0.691336853026085,0.40253034606635,-0.410976468600614,"South","South",-12.1,-28.29,59.9810565670043,"South Winds","This study"
"34","68","Ste","Base",-20.634273,14.13718,"Southeast","AF",0,0,50.22104836,37.38884736,12.39010427,"S",247.131,1.709,0.876,-0.213,2.073,0.773,0.876,0.213,-12.09,-28.26,0.247131,-0.205435407339453,0.168532561726582,-0.562272515569328,-0.554710364771302,"South","South",-12.09,-28.26,55.6188400327057,"South Winds","This study"
"35","69","Ste","Top",-20.6425,14.132778,"Southeast","AF",0,5.65884435,47.48629235,34.64019445,12.21466884,"S",266.372,1.774,0.904,-0.183,2.014,0.827,0.904,0.183,-12.1,-28.26,0.266372,-0.129024070694689,0.577957609129808,-0.419338758289968,-0.388863561497432,"South","South",-12.1,-28.26,55.6188400327057,"South Winds","This study"
"36","70","Ste","Top",-20.644083,14.135583,"Southeast","AF",0,44.53238425,39.45807551,12.67344761,3.336092633,"S",1044.523,1.775,0.933,-0.153,1.166,0.828,0.933,0.153,-12.1,-28.27,1.044523,2.96122893182387,0.584256456012933,-0.271300223964917,-0.223016758223562,"South","South",-12.1,-28.27,55.6188400327057,"South Winds","This study"
"37","71","Ste","Base",-20.612333,14.069028,"Southeast","AF",0,3.591368435,76.55779185,14.67990389,5.170935822,"S",523.426,1.495,1.264,-0.305,1.677,0.58,1.264,0.305,-12.14,-28.2,0.523426,0.891808512325066,-1.1794206712625,1.41838097815894,-1.0633072281445,"South","South",-12.14,-28.2,54.5331614422833,"South Winds","This study"
"38","72","Ste","Base",-20.612333,14.069028,"Southeast","AF",0,49.91142598,32.20071149,12.79106425,5.096798277,"S",1045.889,1.865,0.936,-0.317,1.157,0.899,0.936,0.317,-12.14,-28.2,1.045889,2.96665369591392,1.15115267549432,-0.255985892827842,-1.12964594945405,"South","South",-12.14,-28.2,54.5331614422833,"South Winds","This study"
"39","73","Ste","Top",-20.482278,14.011556,"Southeast","AF",0,25.08863529,61.14785479,9.555122404,4.208387521,"S",834.236,1.674,1.359,0.025,1.336,0.743,1.359,-0.025,-12.1,-28.07,0.834236,2.12612105026795,-0.0519270791828482,1.90333479749963,0.761007607868067,"South","South",-12.1,-28.07,57.4748990178493,"South Winds","This study"
"40","74","Ste","Top",-20.486444,14.027056,"Southeast","AF",0,3.791829773,40.78378117,46.48870564,8.935683422,"S",237.186,1.684,0.869,-0.02,2.088,0.752,0.869,0.02,-12.09,-28.08,0.237186,-0.244929754978982,0.0110613896484174,-0.598005954889168,0.512237402957262,"South","South",-12.09,-28.08,56.5412548828332,"South Winds","This study"
"41","75","Ste","Base",-20.570667,14.366806,"Southeast","AF",0,46.93745213,34.21361574,13.1757309,5.673201237,"S",934.692,1.899,0.958,-0.274,1.216,0.925,0.958,0.274,-11.85,-28.33,0.934692,2.52505963111023,1.36531346952063,-0.143680797822632,-0.891932198094837,"South","South",-11.85,-28.33,57.7923044258691,"South Winds","This study"
